kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 287 : 16 80 0 0 0 0 0 0 0 
_1.ptx 284 : 16 256 0 0 0 0 0 0 0 
_1.ptx 283 : 16 96 0 0 0 0 0 0 0 
_1.ptx 274 : 16 176 0 0 0 0 0 0 0 
_1.ptx 263 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 262 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 261 : 256 1312 0 0 0 0 0 0 0 
_1.ptx 259 : 256 1376 0 0 0 0 0 0 0 
_1.ptx 258 : 256 2688 0 0 0 0 0 0 0 
_1.ptx 257 : 256 4736 0 0 0 0 0 0 0 
_1.ptx 256 : 256 4896 0 0 0 0 0 0 0 
_1.ptx 255 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 254 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 253 : 256 4704 0 0 0 0 0 0 0 
_1.ptx 252 : 256 3008 0 0 0 0 0 0 0 
_1.ptx 251 : 256 4128 0 0 0 0 0 0 0 
_1.ptx 250 : 256 4864 0 0 0 0 0 0 0 
_1.ptx 249 : 256 2432 0 0 0 0 0 0 0 
_1.ptx 248 : 256 2432 0 0 0 0 0 0 0 
_1.ptx 247 : 256 10880 0 0 0 0 0 0 0 
_1.ptx 245 : 256 1312 0 0 0 0 0 0 0 
_1.ptx 244 : 256 3616 0 0 0 0 0 0 0 
_1.ptx 243 : 256 7936 0 0 0 0 0 0 0 
_1.ptx 242 : 256 7904 0 0 0 0 0 0 0 
_1.ptx 241 : 256 6048 0 0 0 0 0 0 0 
_1.ptx 240 : 256 1920 0 0 0 0 0 0 0 
_1.ptx 239 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 238 : 256 52800 0 0 0 0 0 0 0 
_1.ptx 237 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 236 : 256 46848 0 0 0 0 0 0 0 
_1.ptx 235 : 256 3840 0 0 0 0 0 0 0 
_1.ptx 234 : 256 1888 0 0 0 0 0 0 0 
_1.ptx 233 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 232 : 256 63776 0 0 0 0 0 0 0 
_1.ptx 231 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 230 : 256 61216 0 0 0 0 0 0 0 
_1.ptx 229 : 256 2880 0 0 0 0 0 0 0 
_1.ptx 228 : 256 768 0 0 0 0 0 0 0 
_1.ptx 227 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 226 : 256 768 0 0 0 0 0 0 0 
_1.ptx 225 : 256 2656 0 0 0 0 0 0 0 
_1.ptx 224 : 256 2080 0 0 0 0 0 0 0 
_1.ptx 223 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 222 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 221 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 220 : 256 2624 0 0 0 0 0 0 0 
_1.ptx 219 : 256 1888 0 0 0 0 0 0 0 
_1.ptx 218 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 217 : 256 2752 0 0 0 0 0 0 0 
_1.ptx 216 : 256 768 0 0 0 0 0 0 0 
_1.ptx 215 : 256 2912 0 0 0 0 0 0 0 
_1.ptx 214 : 256 2912 0 0 0 0 0 0 0 
_1.ptx 213 : 256 768 0 0 0 0 0 0 0 
_1.ptx 212 : 256 5920 0 0 0 0 0 0 0 
_1.ptx 211 : 256 5088 0 0 0 0 0 0 0 
_1.ptx 210 : 256 1984 0 0 0 0 0 0 0 
_1.ptx 209 : 256 2720 0 0 0 0 0 0 0 
_1.ptx 208 : 256 4416 0 0 0 0 0 0 0 
_1.ptx 207 : 256 2144 0 0 0 0 0 0 0 
_1.ptx 206 : 256 2016 0 0 0 0 0 0 0 
_1.ptx 205 : 256 1952 0 0 0 0 0 0 0 
_1.ptx 204 : 256 3008 0 0 0 0 0 0 0 
_1.ptx 203 : 256 2688 0 0 0 0 0 0 0 
_1.ptx 202 : 256 40704 0 0 0 0 0 0 0 
_1.ptx 110 : 256 1120 0 0 0 0 0 0 0 
_1.ptx 108 : 256 1280 0 8 8 0 0 0 0 
_1.ptx 107 : 256 53504 0 0 0 0 0 0 0 
_1.ptx 106 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 105 : 256 2752 0 0 0 0 0 0 0 
_1.ptx 104 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 103 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 301 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 102 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 101 : 256 3744 0 0 0 0 0 0 0 
_1.ptx 100 : 256 2592 0 0 0 0 0 0 0 
_1.ptx 298 : 16 80 0 0 0 0 0 0 0 
_1.ptx 99 : 256 3104 0 0 0 0 0 0 0 
_1.ptx 297 : 16 112 0 0 0 0 0 0 0 
_1.ptx 98 : 256 2560 0 0 0 0 0 0 0 
_1.ptx 296 : 16 256 0 0 0 0 0 0 0 
_1.ptx 97 : 256 3456 0 0 0 0 0 0 0 
_1.ptx 295 : 16 96 0 0 0 0 0 0 0 
_1.ptx 96 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 294 : 16 112 0 0 0 0 0 0 0 
_1.ptx 95 : 256 768 0 0 0 0 0 0 0 
_1.ptx 293 : 16 256 0 0 0 0 0 0 0 
_1.ptx 94 : 256 768 0 0 0 0 0 0 0 
_1.ptx 292 : 16 240 0 0 0 0 0 0 0 
_1.ptx 93 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 291 : 16 96 0 0 0 0 0 0 0 
_1.ptx 92 : 256 2560 0 0 0 0 0 0 0 
_1.ptx 290 : 16 112 0 0 0 0 0 0 0 
_1.ptx 91 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 273 : 16 176 0 0 0 0 0 0 0 
_1.ptx 74 : 256 1950 0 0 0 0 0 0 8 
_1.ptx 171 : 16 178 0 0 0 0 0 0 0 
_1.ptx 73 : 256 1984 0 0 0 0 0 0 0 
_1.ptx 170 : 16 162 0 0 0 0 0 0 0 
_1.ptx 271 : 256 1856 0 0 0 0 0 0 1 
_1.ptx 72 : 256 2944 0 0 0 0 0 0 0 
_1.ptx 169 : 16 176 0 0 0 0 0 0 0 
_1.ptx 270 : 256 2112 0 0 0 0 0 0 0 
_1.ptx 71 : 256 3456 0 0 0 0 0 0 0 
_1.ptx 168 : 16 196 0 0 0 0 0 0 0 
_1.ptx 117 : 256 1280 0 0 0 0 0 0 0 
_1.ptx 269 : 256 1984 0 0 0 0 0 0 0 
_1.ptx 70 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 268 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 69 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 166 : 256 1440 0 0 0 0 0 0 8 
_1.ptx 115 : 256 1504 0 8 8 0 0 0 0 
_1.ptx 267 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 68 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 114 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 266 : 256 2144 0 0 0 0 0 0 0 
_1.ptx 67 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 289 : 16 320 0 0 0 0 0 0 0 
_1.ptx 90 : 256 3456 0 0 0 0 0 0 0 
_1.ptx 113 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 265 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 66 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 163 : 1024 4864 0 0 0 0 0 0 0 
_1.ptx 89 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 112 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 264 : 256 1824 0 0 0 0 0 0 0 
_1.ptx 65 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 162 : 1024 8576 0 0 0 0 0 0 0 
_1.ptx 275 : 16 2480 0 0 0 0 0 0 0 
_1.ptx 76 : 16 4302 256 0 0 0 0 0 0 
_1.ptx 173 : 16 64 0 0 0 0 0 0 0 
_1.ptx 276 : 16 112 0 0 0 0 0 0 0 
_1.ptx 77 : 16 176 0 0 0 0 0 0 0 
_1.ptx 174 : 16 182 0 0 0 0 0 0 0 
_1.ptx 277 : 16 2480 0 0 0 0 0 0 0 
_1.ptx 78 : 16 176 0 0 0 0 0 0 0 
_1.ptx 175 : 16 176 0 0 0 0 0 0 0 
_1.ptx 278 : 16 112 0 0 0 0 0 0 0 
_1.ptx 79 : 16 112 0 0 0 0 0 0 0 
_1.ptx 176 : 16 120 0 0 0 0 0 0 0 
_1.ptx 279 : 16 96 0 0 0 0 0 0 0 
_1.ptx 80 : 16 204 0 0 0 0 0 0 0 
_1.ptx 177 : 16 186 0 0 0 0 0 0 0 
_1.ptx 280 : 16 240 0 0 0 0 0 0 0 
_1.ptx 81 : 16 176 0 0 0 0 0 0 0 
_1.ptx 178 : 16 176 0 0 0 0 0 0 0 
_1.ptx 281 : 16 256 0 0 0 0 0 0 0 
_1.ptx 82 : 16 3328 0 0 0 0 0 0 0 
_1.ptx 179 : 16 86 0 0 0 0 0 0 0 
_1.ptx 282 : 16 112 0 0 0 0 0 0 0 
_1.ptx 83 : 16 80 0 8 8 0 0 0 0 
_1.ptx 285 : 16 240 0 0 0 0 0 0 0 
_1.ptx 86 : 256 1152 0 0 0 0 0 0 0 
_1.ptx 286 : 16 112 0 0 0 0 0 0 0 
_1.ptx 87 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 119 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 120 : 256 9792 0 0 0 0 0 0 0 
_1.ptx 121 : 256 1568 0 0 0 0 0 0 0 
_1.ptx 122 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 123 : 256 0 0 0 0 0 0 0 0 
_1.ptx 124 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 125 : 256 1632 0 0 0 0 0 0 0 
_1.ptx 126 : 256 11584 0 0 0 0 0 0 0 
_1.ptx 127 : 256 1568 0 0 0 0 0 0 0 
_1.ptx 131 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 132 : 1024 42848 0 0 0 0 0 0 0 
_1.ptx 133 : 1024 7744 0 0 0 0 0 0 0 
_1.ptx 134 : 1024 8672 0 0 0 0 0 0 0 
_1.ptx 135 : 1024 7648 0 0 0 0 0 0 0 
_1.ptx 136 : 1024 8608 0 0 0 0 0 0 0 
_1.ptx 137 : 1024 5888 0 0 0 0 0 0 15 
_1.ptx 140 : 240 1968 0 15 15 0 0 0 0 
_1.ptx 141 : 240 1776 0 0 0 0 0 0 0 
_1.ptx 142 : 240 1696 0 0 0 0 0 0 0 
_1.ptx 143 : 240 2048 0 0 0 0 0 0 0 
_1.ptx 144 : 240 2656 0 0 0 0 0 0 0 
_1.ptx 145 : 240 1840 0 0 0 0 0 0 0 
_1.ptx 146 : 240 2672 0 0 0 0 0 0 0 
_1.ptx 147 : 240 1728 0 0 0 0 0 0 0 
_1.ptx 148 : 240 2576 0 0 0 0 0 0 0 
_1.ptx 149 : 240 2640 0 0 0 0 0 0 0 
_1.ptx 150 : 240 2432 0 0 0 0 0 0 0 
_1.ptx 151 : 240 2640 0 0 0 0 0 0 0 
_1.ptx 152 : 240 1968 0 15 15 0 0 0 0 
_1.ptx 153 : 240 2640 0 0 0 0 0 0 0 
_1.ptx 154 : 240 1312 0 15 15 0 0 0 0 
_1.ptx 158 : 1024 3872 0 0 0 0 0 0 0 
_1.ptx 160 : 1024 10240 0 0 0 0 0 0 0 
_1.ptx 161 : 1024 7168 0 0 0 0 0 0 0 
_1.ptx 172 : 16 128 0 8 8 0 0 0 0 
_1.ptx 182 : 256 1536 0 0 0 0 0 0 0 
